mode,detector,energy_keV,n_events,output_name,config_path
transport,eiger2,120,10000,mpu_transport_eiger2_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_120keV.conf
transport,eiger2,130,10000,mpu_transport_eiger2_alloy2_130keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_130keV.conf
transport,eiger2,140,10000,mpu_transport_eiger2_alloy2_140keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_140keV.conf
transport,eiger2,150,10000,mpu_transport_eiger2_alloy2_150keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_150keV.conf
transport,hexitec_proxy,40,10000,mpu_transport_hexitec_proxy_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_hexitec_proxy_alloy2_40keV.conf
transport,hexitec_proxy,80,10000,mpu_transport_hexitec_proxy_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_hexitec_proxy_alloy2_80keV.conf
transport,hexitec_proxy,120,10000,mpu_transport_hexitec_proxy_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_hexitec_proxy_alloy2_120keV.conf
transport,timepix3_cdte,40,10000,mpu_transport_timepix3_cdte_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_timepix3_cdte_alloy2_40keV.conf
transport,timepix3_cdte,80,10000,mpu_transport_timepix3_cdte_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_timepix3_cdte_alloy2_80keV.conf
transport,timepix3_cdte,120,10000,mpu_transport_timepix3_cdte_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_timepix3_cdte_alloy2_120keV.conf
bare,hexitec_proxy,20,10000,mpu_bare_hexitec_proxy_20keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_20keV.conf
bare,hexitec_proxy,30,10000,mpu_bare_hexitec_proxy_30keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_30keV.conf
bare,hexitec_proxy,40,10000,mpu_bare_hexitec_proxy_40keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_40keV.conf
bare,hexitec_proxy,50,10000,mpu_bare_hexitec_proxy_50keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_50keV.conf
bare,hexitec_proxy,60,10000,mpu_bare_hexitec_proxy_60keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_60keV.conf
bare,hexitec_proxy,70,10000,mpu_bare_hexitec_proxy_70keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_70keV.conf
bare,hexitec_proxy,80,10000,mpu_bare_hexitec_proxy_80keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_80keV.conf
bare,hexitec_proxy,90,10000,mpu_bare_hexitec_proxy_90keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_90keV.conf
bare,hexitec_proxy,100,10000,mpu_bare_hexitec_proxy_100keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_100keV.conf
bare,hexitec_proxy,110,10000,mpu_bare_hexitec_proxy_110keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_110keV.conf
bare,hexitec_proxy,120,10000,mpu_bare_hexitec_proxy_120keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_120keV.conf
bare,hexitec_proxy,130,10000,mpu_bare_hexitec_proxy_130keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_130keV.conf
bare,hexitec_proxy,140,10000,mpu_bare_hexitec_proxy_140keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_140keV.conf
bare,hexitec_proxy,150,10000,mpu_bare_hexitec_proxy_150keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_150keV.conf
bare,timepix3_cdte,20,10000,mpu_bare_timepix3_cdte_20keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_20keV.conf
bare,timepix3_cdte,30,10000,mpu_bare_timepix3_cdte_30keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_30keV.conf
bare,timepix3_cdte,40,10000,mpu_bare_timepix3_cdte_40keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_40keV.conf
bare,timepix3_cdte,50,10000,mpu_bare_timepix3_cdte_50keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_50keV.conf
bare,timepix3_cdte,60,10000,mpu_bare_timepix3_cdte_60keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_60keV.conf
bare,timepix3_cdte,70,10000,mpu_bare_timepix3_cdte_70keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_70keV.conf
bare,timepix3_cdte,80,10000,mpu_bare_timepix3_cdte_80keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_80keV.conf
bare,timepix3_cdte,90,10000,mpu_bare_timepix3_cdte_90keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_90keV.conf
bare,timepix3_cdte,100,10000,mpu_bare_timepix3_cdte_100keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_100keV.conf
bare,timepix3_cdte,110,10000,mpu_bare_timepix3_cdte_110keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_110keV.conf
bare,timepix3_cdte,120,10000,mpu_bare_timepix3_cdte_120keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_120keV.conf
bare,timepix3_cdte,130,10000,mpu_bare_timepix3_cdte_130keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_130keV.conf
bare,timepix3_cdte,140,10000,mpu_bare_timepix3_cdte_140keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_140keV.conf
bare,timepix3_cdte,150,10000,mpu_bare_timepix3_cdte_150keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_timepix3_cdte_150keV.conf
